4,4.25,4.5,4.75
4.25,4.5,4.75,5
4.5,4.75,5,5.25
4.75,5,5.25,5.5
5,5.25,5.5,5.75
5.25,5.5,5.75,6
5.5,5.75,6,6.25
5.75,6,6.25,6.5
6,6.25,6.5,6.75
6.25,6.5,6.75,7
6.5,6.75,7,7.25
6.75,7,7.25,7.5
7,7.25,7.5,7.75
7.25,7.5,7.75,8
7.5,7.75,8,8.25
7.75,8,8.25,8.5
8,8.25,8.5,8.75
8.25,8.5,8.75,9
8.5,8.75,9,9.25
8.75,9,9.25,9.5
9,9.25,9.5,9.75
9.25,9.5,9.75,10
9.5,9.75,10,10.25
9.75,10,10.25,10.5
10,10.25,10.5,10.75
10.25,10.5,10.75,11
10.5,10.75,11,11.25
10.75,11,11.25,11.5
11,11.25,11.5,11.75
11.25,11.5,11.75,12
11.5,11.75,12,12.25
11.75,12,12.25,12.5
12,12.25,12.5,12.75
12.25,12.5,12.75,13
12.5,12.75,13,13.25
12.75,13,13.25,13.5
13,13.25,13.5,13.75
13.25,13.5,13.75,14
13.5,13.75,14,14.25
13.75,14,14.25,14.5
14,14.25,14.5,14.75
14.25,14.5,14.75,15
14.5,14.75,15,15.25
14.75,15,15.25,15.5
15,15.25,15.5,15.75
15.25,15.5,15.75,16
15.5,15.75,16,16.25
15.75,16,16.25,16.5
16,16.25,16.5,16.75
16.25,16.5,16.75,17
16.5,16.75,17,17.25
16.75,17,17.25,17.5
17,17.25,17.5,17.75
17.25,17.5,17.75,18
17.5,17.75,18,18.25
17.75,18,18.25,18.5
18,18.25,18.5,18.75
18.25,18.5,18.75,19
18.5,18.75,19,19.25
18.75,19,19.25,19.5
19,19.25,19.5,19.75
19.25,19.5,19.75,20
19.5,19.75,20,20.25
19.75,20,20.25,20.5
20,20.25,20.5,20.75
20.25,20.5,20.75,21
20.5,20.75,21,21.25
20.75,21,21.25,21.5
21,21.25,21.5,21.75
21.25,21.5,21.75,22
21.5,21.75,22,22.25
21.75,22,22.25,22.5
22,22.25,22.5,22.75
22.25,22.5,22.75,23
22.5,22.75,23,23.25
22.75,23,23.25,23.5
23,23.25,23.5,23.75
23.25,23.5,23.75,24
23.5,23.75,24,24.25
23.75,24,24.25,24.5
24,24.25,24.5,24.75
24.25,24.5,24.75,25
24.5,24.75,25,25.25
24.75,25,25.25,25.5
25,25.25,25.5,25.75
25.25,25.5,25.75,26
25.5,25.75,26,26.25
25.75,26,26.25,26.5
26,26.25,26.5,26.75
26.25,26.5,26.75,27
26.5,26.75,27,27.25
26.75,27,27.25,27.5
27,27.25,27.5,27.75
27.25,27.5,27.75,28
27.5,27.75,28,28.25
27.75,28,28.25,28.5
28,28.25,28.5,28.75
28.25,28.5,28.75,29
28.5,28.75,29,29.25
28.75,29,29.25,29.5
29,29.25,29.5,29.75
29.25,29.5,29.75,30
29.5,29.75,30,30.25
29.75,30,30.25,30.5
30,30.25,30.5,30.75
30.25,30.5,30.75,31
30.5,30.75,31,31.25
30.75,31,31.25,31.5
31,31.25,31.5,31.75
31.25,31.5,31.75,32
31.5,31.75,32,32.25
31.75,32,32.25,32.5
32,32.25,32.5,32.75
32.25,32.5,32.75,33
32.5,32.75,33,33.25
32.75,33,33.25,33.5
33,33.25,33.5,33.75
33.25,33.5,33.75,34
33.5,33.75,34,34.25
33.75,34,34.25,34.5
34,34.25,34.5,34.75
34.25,34.5,34.75,35
34.5,34.75,35,35.25
34.75,35,35.25,35.5
35,35.25,35.5,35.75
35.25,35.5,35.75,36
35.5,35.75,36,36.25
35.75,36,36.25,36.5
36,36.25,36.5,36.75
36.25,36.5,36.75,37
36.5,36.75,37,37.25
36.75,37,37.25,37.5
37,37.25,37.5,37.75
37.25,37.5,37.75,38
37.5,37.75,38,38.25
37.75,38,38.25,38.5
38,38.25,38.5,38.75
38.25,38.5,38.75,39
38.5,38.75,39,39.25
38.75,39,39.25,39.5
39,39.25,39.5,39.75
39.25,39.5,39.75,40
39.5,39.75,40,40.25
39.75,40,40.25,40.5
40,40.25,40.5,40.75
40.25,40.5,40.75,41
40.5,40.75,41,41.25
40.75,41,41.25,41.5
41,41.25,41.5,41.75
41.25,41.5,41.75,42
41.5,41.75,42,42.25
41.75,42,42.25,42.5
42,42.25,42.5,42.75
42.25,42.5,42.75,43
42.5,42.75,43,43.25
42.75,43,43.25,43.5
